method,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,roc_auc_ovr_mean,roc_auc_ovr_std,pr_auc_macro_mean,pr_auc_macro_std,n_features_selected_mean,n_features_selected_std,latency_ms_per_flow_mean,latency_ms_per_flow_std,train_time_s_mean,train_time_s_std,fidelity_mean,fidelity_std
boruta,0.968134,0.052655367532664726,0.6597641179701288,0.2388256593095442,0.9717592010259354,0.04874458067135518,0.6631534549544391,0.23035366763910872,0.6937269537901695,0.23618395497124206,0.6238893775777479,0.05241672613316728,0.1923155785051096,0.057560967177267296,63.2,0.8366600265340749,0.015716903686523436,0.0032387468599270174,22.654330110549928,1.2127570728139931,,
filter,0.995186,0.0031816709446452545,0.7278437934613116,0.0787980424676713,0.9954867751479647,0.0029491558442900634,0.7101920572122753,0.07983414901283761,0.8135474927866765,0.05361937238997502,0.5568427809222811,0.03647269845540258,0.13006039627056748,0.039799975034683896,39.0,0.0,0.011857553482055663,0.0024851596823949446,18.699803018569945,0.5701701665631693,,
lasso,0.9956800000000001,0.0032917928245866797,0.7751675008625288,0.0708142091905683,0.9963415748271938,0.002993593414868974,0.7609104271496887,0.0736332002483513,0.8165925954163693,0.04816447881997431,0.6112316429512891,0.040544208314605645,0.19334670948738392,0.05547640585684699,63.8,4.764451699828639,0.016060192584991455,0.0027730400686668865,22.83278889656067,2.075768447865136,,
none,0.9952719999999999,0.0039700528963730435,0.7441935892415452,0.07988951804584918,0.995751244248358,0.0035741270618060055,0.7330936442518149,0.08008993159791979,0.7781994213436485,0.0729144637076469,0.5779624347421228,0.055811498349337685,0.1522959692847371,0.07074973842995536,78.0,0.0,0.014715343952178956,0.0036855510005151214,22.939265251159668,1.3043819429503605,,
rf_imp,0.991056,0.007069425719250434,0.6470603278254072,0.12156709566064079,0.9919184549745104,0.006050602018458754,0.6287296080748245,0.11952300135000297,0.7225628953304646,0.13680504856714243,0.5674528376730229,0.048618240126281,0.14702746006146217,0.06389883575657766,39.0,0.0,0.014232077121734618,0.003493393083003436,19.362355089187623,0.900703748957014,,
rfe,0.948872,0.06126212671789969,0.5287528432192549,0.3063235301277882,0.9491664151393643,0.06170844736381592,0.5399781167052423,0.2838087300274301,0.5721998125814196,0.3257798022128657,0.6138235279640385,0.044322387878263175,0.1773534739569936,0.03890525467882124,39.0,0.0,0.01559227418899536,0.003923723200235213,18.72495608329773,1.9860364240033437,,
